model,row,status,assertions_passed,assertions_total,pass_rate,error_message,assertion_details
google/gemini-2.0-flash,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-2.0-flash,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-2.0-flash-lite,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemini-2.0-flash-lite,1,SUCCESS,4,5,0.8,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; FAIL: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-2.0-flash-lite,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-2.5-flash,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemini-2.5-flash,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-2.5-flash,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-2.5-pro,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemini-2.5-pro,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-2.5-pro,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-3-flash-preview,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemini-3-flash-preview,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-3-flash-preview,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-3.1-flash-lite-preview,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemini-3.1-flash-lite-preview,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-3.1-flash-lite-preview,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemini-3.1-pro-preview,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemini-3.1-pro-preview,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemini-3.1-pro-preview,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemma-3-12b,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemma-3-12b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemma-3-12b,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemma-3-1b,0,SUCCESS,4,5,0.8,,FAIL: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemma-3-1b,1,SUCCESS,3,5,0.6,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; FAIL: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; FAIL: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemma-3-1b,2,SUCCESS,3,5,0.6,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; FAIL: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemma-3-27b,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemma-3-27b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemma-3-27b,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemma-3-4b,0,SUCCESS,4,5,0.8,,FAIL: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemma-3-4b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemma-3-4b,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemma-4-26b-a4b,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemma-4-26b-a4b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemma-4-26b-a4b,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
google/gemma-4-31b,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
google/gemma-4-31b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
google/gemma-4-31b,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
openai/gpt-5.4-2026-03-05,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
openai/gpt-5.4-2026-03-05,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
openai/gpt-5.4-2026-03-05,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
openai/gpt-5.4-mini-2026-03-17,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
openai/gpt-5.4-mini-2026-03-17,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
openai/gpt-5.4-mini-2026-03-17,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
openai/gpt-5.4-nano-2026-03-17,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
openai/gpt-5.4-nano-2026-03-17,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
openai/gpt-5.4-nano-2026-03-17,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
openai/gpt-oss-120b,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
openai/gpt-oss-120b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
openai/gpt-oss-120b,2,SUCCESS,4,5,0.8,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; FAIL: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
openai/gpt-oss-20b,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
openai/gpt-oss-20b,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
openai/gpt-oss-20b,2,SUCCESS,5,5,1.0,,PASS: Response includes the sample size of 342 participants.; PASS: Response includes the 23% symptom reduction in the treatment group.; PASS: Response includes the placebo control group outcome.; PASS: Response includes the 8-week treatment duration.; PASS: Response does not dwell on the researcher's hobbies or unrelated withdrawal reasons.
qwen/qwen3-235b-a22b-instruct-2507,0,SUCCESS,5,5,1.0,,PASS: Response includes the 12% revenue growth in Q3.; PASS: Response includes the 4% reduction in operating costs.; PASS: Response includes the improvement in net profit margin from 8.1% to 9.6%.; PASS: Response does not reference marketing campaigns or headcount as financial metrics.; PASS: Response does not cite the planned Asian market expansion as a financial performance metric.
qwen/qwen3-235b-a22b-instruct-2507,1,SUCCESS,5,5,1.0,,"PASS: Response includes the fever of 101.3F.; PASS: Response includes the blood pressure reading of 118/76 mmHg.; PASS: Response includes oxygen saturation of 97%.; PASS: Response includes the mild cough and occasional headaches.; PASS: Response excludes irrelevant personal details about the dog, son, or restaurant."
